arm	seg	side	turn_id	addr	tier	reason	rank
B	E70	old	11107	S15440/T718	2	declares-index	35
B	E70	old	9575	S15440/T271	2	declares-index	36
B	E70	old	11127	S15440/T725	2	declares-index	37
B	E70	old	10540	S15440/T501	2	declares-index	38
B	E70	recent	11696	S15440/T1022	2	declares-index	1
B	E70	recent	11577	S15440/T971	2	declares-index	2
B	E70	recent	11327	S15440/T805	2	declares-index	3
B	E70	recent	11570	S15440/T965	3	corrector	4
B	E70	recent	11526	S15440/T937	3	corrector	5
B	E70	recent	11674	S15440/T1014	3	corrector	6
B	E70	recent	11649	S15440/T999	3	corrector	7
B	E70	recent	11538	S15440/T947	3	corrector	8
B	E70	recent	11534	S15440/T943	3	corrector	9
B	E70	recent	11302	S15440/T789	3	corrector	10
B	E70	recent	11650	S15440/T1000	3	corrector	11
B	E70	recent	11520	S15440/T932	3	corrector	12
B	E70	recent	11471	S15440/T898	3	corrector	13
B	E70	recent	11368	S15440/T825	3	corrector	14
B	E70	recent	11592	S15440/T979	3	corrector	15
B	E70	recent	11566	S15440/T963	3	corrector	16
B	E70	recent	11404	S15440/T846	3	corrector	17
B	E70	recent	11375	S15440/T830	3	corrector	18
B	E70	recent	11361	S15440/T821	3	corrector	19
B	E70	recent	11356	S15440/T818	3	corrector	20
B	E70	recent	11672	S15440/T1013	3	corrector	21
B	E70	recent	11588	S15440/T976	3	corrector	22
B	E70	recent	11373	S15440/T829	3	corrector	23
B	E70	recent	11543	S15440/T951	4	indexed-by-elected	24
B	E70	recent	11306	S15440/T792	4	indexed-by-elected	25
B	E70	recent	11304	S15440/T790	4	indexed-by-elected	26
B	E70	recent	11548	S15440/T954	4	indexed-by-elected	27
B	E70	recent	11314	S15440/T798	4	indexed-by-elected	28
B	E70	recent	11691	S15440/T1021	4	indexed-by-elected	29
B	E70	recent	11663	S15440/T1005	4	indexed-by-elected	30
B	E70	recent	11559	S15440/T959	4	indexed-by-elected	31
B	E70	recent	11547	S15440/T953	4	indexed-by-elected	32
B	E70	recent	11325	S15440/T804	4	indexed-by-elected	33
B	E70	recent	11299	S15440/T786	4	indexed-by-elected	34
B	E70	recent	11670	S15440/T1011	4	indexed-by-elected	35
B	E70	recent	11573	S15440/T967	4	indexed-by-elected	36
B	E70	recent	11380	S15440/T831	5	other	37
B	E70	recent	11473	S15440/T899	5	other	38
B	E70	recent	11384	S15440/T833	5	other	39
